Folder	ConsManifesto2017	ConsManifesto2017_Rel_Freq	GreenManifesto2017	GreenManifesto2017_Rel_Freq	LabourManifesto2017	LabourManifesto2017_Rel_Freq	LibdemManifesto2017	LibdemManifesto2017_Rel_Freq	PlaidCymruManifesto2017	PlaidCymruManifesto2017_Rel_Freq	SNPManifesto2017	SNPManifesto2017_Rel_Freq	UKIPManifesto2017	UKIPManifesto2017_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
&pound;25_billion	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;25_million	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.02	1 	0.01	0	0.00	2	0.00	2	6.94	0.79	0.81	
&pound;26,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;27,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	2	0.00	1	7.42	0.84	0.86	
&pound;29	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;2_billion	1 	0.00	0	0.00	2 	0.01	5 	0.02	0	0.00	3 	0.02	3 	0.01	14	0.01	5	7.01	0.28	0.28	
&pound;3,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1 	0.00	2	0.00	2	4.25	0.65	0.67	
&pound;3.6_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;30	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;30,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;300_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
&pound;300_million	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.62	0.84	0.86	
&pound;309	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;30_billion	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;319_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;330_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;35,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;350_million	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.02	0	0.00	0	0.00	1	0.00	1	6.01	0.95	0.97	
&pound;35_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	2	0.00	1	6.63	0.81	0.83	
&pound;380	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;380m	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;3_billion	0	0.00	0	0.00	1 	0.00	1 	0.00	1 	0.02	1 	0.01	0	0.00	4	0.00	4	5.61	0.44	0.46	
&pound;4.3_billion	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.02	0	0.00	0	0.00	1	0.00	1	6.01	0.95	0.97	
&pound;4.6_billion	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	2	0.00	2	3.91	0.62	0.64	
&pound;400	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;400_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;400_million	0	0.00	0	0.00	1 	0.00	0	0.00	1 	0.02	2 	0.01	1 	0.00	5	0.00	4	6.79	0.42	0.43	
&pound;40_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
&pound;425,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;44,000	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	2	0.00	2	3.91	0.62	0.64	
&pound;440_million	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;450	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
&pound;46_billion	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;4_billion	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.02	0	0.00	1 	0.00	3	0.00	3	5.66	0.53	0.54	
&pound;50,000	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	4 	0.02	5	0.00	2	11.19	0.61	0.62	
&pound;500,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	2	0.00	1	6.63	0.81	0.83	
&pound;500_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3 	0.02	1 	0.00	4	0.00	2	9.95	0.65	0.67	
&pound;50_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;50_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;53,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;55,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	2	0.00	1	6.63	0.81	0.83	
&pound;56_billion	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.02	0	0.00	0	0.00	1	0.00	1	6.01	0.95	0.97	
&pound;589_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;5_billion	0	0.00	0	0.00	0	0.00	1 	0.00	1 	0.02	1 	0.01	0	0.00	3	0.00	3	6.75	0.63	0.65	
&pound;5_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;6,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1 	0.00	2	0.00	2	4.25	0.65	0.67	
&pound;6.3_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	2	0.00	1	6.63	0.81	0.83	
&pound;6.4_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;600	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
&pound;600_million	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
&pound;61_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;62.70	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;680_million	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.02	0	0.00	0	0.00	1	0.00	1	6.01	0.95	0.97	
&pound;6_billion	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.62	0.84	0.86	
&pound;7.50	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
&pound;7.5_billion	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.02	0	0.00	0	0.00	1	0.00	1	6.01	0.95	0.97	
&pound;7.7_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;73.10	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;740_million	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
&pound;742_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;75_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;77_billion	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;79_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;7_billion	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	1 	0.01	0	0.00	3	0.00	2	7.14	0.68	0.70	
&pound;7m	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;8.60	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	2	0.00	1	7.42	0.84	0.86	
&pound;8.9_billion	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.62	0.84	0.86	
&pound;80,000	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;80_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;82_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;85,000.	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;89_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
&pound;8_billion	1 	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	3.53	0.58	0.60	
&pound;9,000	0	0.00	0	0.00	1 	0.00	0	0.00	1 	0.02	0	0.00	0	0.00	2	0.00	2	6.60	0.76	0.78	
&pound;90_million	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;97_million	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
&pound;9_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	3	0.00	2	5.75	0.58	0.59	
&pound;bn	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.32	0.81	0.83	
'	10 	0.03	5 	0.17	38 	0.16	24 	0.12	7 	0.11	12 	0.06	23 	0.10	119	0.10	7	29.31	0.20	0.21	
'd	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
'inadequate'	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
'll	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	3	0.00	2	6.97	0.66	0.67	
'm	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	3	0.00	2	6.97	0.66	0.67	
'once-only'	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	2.93	0.77	0.79	
