Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
warranted	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
wars	0	0.00	2 	0.01	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	3	0.00	2	6.91	0.68	0.76	
was	18 	0.06	36 	0.09	5 	0.03	3 	0.01	3 	0.02	8 	0.04	21 	0.08	94	0.05	7	38.75	0.27	0.30	
waste	2 	0.01	19 	0.05	2 	0.01	18 	0.06	4 	0.02	1 	0.01	5 	0.02	51	0.03	7	26.44	0.33	0.36	
waste_bill	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
wasted	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	4 	0.02	6	0.00	2	13.88	0.64	0.71	
wasteful	4 	0.01	4 	0.01	1 	0.01	0	0.00	2 	0.01	0	0.00	1 	0.00	12	0.01	5	9.81	0.35	0.39	
wasting	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1 	0.00	2	0.00	2	5.72	0.76	0.84	
watch	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
watchdog	1 	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00	2	9.10	0.74	0.82	
water	5 	0.02	13 	0.03	0	0.00	9 	0.03	1 	0.01	4 	0.02	2 	0.01	34	0.02	6	15.94	0.27	0.30	
water-borne	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
water-stressed	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
water_bill	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	9.29	0.90	1.00	
water_bills	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	2	0.00	1	9.26	0.90	1.00	
water_companies	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	9.29	0.90	1.00	
water_environment	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
water_industry	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
watering_down	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	4.63	0.90	1.00	
waters	0	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	3 	0.01	5	0.00	3	9.77	0.56	0.62	
watershed	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
waterways	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
wave	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
waves	0	0.00	1 	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	3.71	0.60	0.67	
way	13 	0.04	19 	0.05	5 	0.03	17 	0.05	8 	0.05	7 	0.04	14 	0.05	83	0.05	7	2.24	0.06	0.07	
way_of_life	2 	0.01	1 	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	5	0.00	3	9.05	0.54	0.60	
way_out	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	2	0.00	2	4.13	0.64	0.71	
ways	2 	0.01	12 	0.03	1 	0.01	10 	0.03	0	0.00	6 	0.03	4 	0.02	35	0.02	6	18.20	0.30	0.34	
we	1041 	3.54	444 	1.13	457 	2.59	534 	1.65	438 	2.49	456 	2.56	418 	1.60	3788	2.10	7	570.39	0.17	0.19	
weak	0	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	4.92	0.68	0.76	
weaken	0	0.00	1 	0.00	1 	0.01	0	0.00	2 	0.01	0	0.00	0	0.00	4	0.00	3	8.67	0.59	0.65	
weakened	1 	0.00	1 	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	1 	0.00	4	0.00	4	4.09	0.38	0.42	
weaker	0	0.00	0	0.00	1 	0.01	1 	0.00	1 	0.01	0	0.00	0	0.00	3	0.00	3	6.15	0.63	0.69	
weakest	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	7.26	0.84	0.93	
weakness	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	4.63	0.90	1.00	
weaknesses	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
wealth	2 	0.01	36 	0.09	6 	0.03	2 	0.01	6 	0.03	7 	0.04	5 	0.02	64	0.04	7	48.66	0.35	0.39	
wealth-creating	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
