Folder	ConsManifesto2024	ConsManifesto2024_Rel_Freq	GreenManifesto2024	GreenManifesto2024_Rel_Freq	LabourManifesto2024	LabourManifesto2024_Rel_Freq	LibdemManifesto2024	LibdemManifesto2024_Rel_Freq	PlaidCymruManifesto2024	PlaidCymruManifesto2024_Rel_Freq	ReformUKmanifesto2024	ReformUKmanifesto2024_Rel_Freq	SNPManifesto2024	SNPManifesto2024_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
&pound;160,000	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;160_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	5.78	0.94	1.00	
&pound;160_million	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	6.25	0.79	0.84	
&pound;16bn	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.03	2	0.00	1	10.97	0.94	0.99	
&pound;17	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	5.78	0.94	1.00	
&pound;175m	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1	0.00	1	5.48	0.94	0.99	
&pound;17_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	5.78	0.94	1.00	
&pound;17bn	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.70	0.84	0.89	
&pound;18	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	5.78	0.94	1.00	
&pound;185.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1	0.00	1	5.48	0.94	0.99	
&pound;18_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	5.78	0.94	1.00	
&pound;18bn	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1	0.00	1	5.48	0.94	0.99	
